index,Rsmiles,Psmiles,DE,DG,DH
GZCGUPFRVQAUEE_15_4_2,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:13])([H:18])[H:23])([O:9][H:15])[H:20])=[O:7])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],56.6327323749806,53.11554162751455,-0.45100382409181905
GZCGUPFRVQAUEE_15_4_3,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:13])([H:18])[H:23])([O:9][H:15])[H:20])=[O:7])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],60.79688541702538,57.36252592349288,-0.45100382409181905
GZCGUPFRVQAUEE_173_0_2,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])(/[C:2](=[C:4](\[O:10][H:16])[H:22])[H:19])([O:6][H:12])[H:17].[O:8]([H:14])[H:21],70.54901055651578,64.71630975397464,11.643403441682574
GZCGUPFRVQAUEE_173_0_3,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])(/[C:2](=[C:4](\[O:10][H:16])[H:22])[H:19])([O:6][H:12])[H:17].[O:8]([H:14])[H:21],76.20475368000432,69.34105476899798,11.643403441682574
GZCGUPFRVQAUEE_179_1_2,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]1([O:6][H:12])([H:17])[C:1]([O:7][H:13])([H:18])[C:3]([C:5](=[O:11])[H:23])([H:20])[O:8][C:2]1([C:4]([O:10][H:16])([H:21])[H:22])[H:19].[O:9]([H:14])[H:15],66.34093184951055,62.17803382646261,12.012428298279156
GZCGUPFRVQAUEE_200_1_1,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]1([O:6][H:12])([H:17])[C:1]([O:7][H:13])([H:18])[C:3]([O:9][H:15])([H:20])[C:5]([O:11][H:16])([H:23])[C:2]1([O:8][H:14])[H:19].[C:4](=[O:10])([H:21])[H:22],76.57623930399382,73.51022788695875,5.632409177820221
GZCGUPFRVQAUEE_201_0_2,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C-:5]#[O+:11].[C:0]([C:1]([C:3]([O:9][H:15])([H:20])[H:23])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],88.7467860565135,83.89300007399773,0.7010038240917764
GZCGUPFRVQAUEE_201_0_3,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C-:5]#[O+:11].[C:0]([C:1]([C:3]([O:9][H:15])([H:20])[H:23])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],85.94683866744873,80.41408740600636,0.7010038240917764
GZCGUPFRVQAUEE_222_12_0,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1](/[C:3](=[C:5](\[O:11][H:12])[H:23])[O:9][H:15])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:20])[H:17],53.893653407476165,48.023302034958746,7.982074569789659
GZCGUPFRVQAUEE_222_12_1,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1](/[C:3](=[C:5](\[O:11][H:12])[H:23])[O:9][H:15])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:20])[H:17],51.30329419145296,46.15520625346682,7.982074569789659
